Microsoft (R) Macro Assembler (x64) Version 14.27.29111.0   07/26/21 14:58:20
StackMachine.asm					     Page 1 - 1



 00000000			.code
 00000091  89 04 24			mov dword ptr[rsp],eax
 00000094  48/ 83 C2 02			add rdx,2h
 00000098  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000009C  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000000A0			ViLdibsxd endp

 000000A0			ViLdibsxq proc
 000000A0  48/ 0F BE 42			movsx rax,byte ptr[rdx+1]
	   01
 000000A5  48/ 83 EC 08			sub rsp,8h
 000000A9  48/ 89 04 24			mov qword ptr[rsp],rax
 000000AD  48/ 83 C2 02			add rdx,2h
 000000B1  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000000B5  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000000B9			ViLdibsxq endp

 000000B9			ViLdiwsxd proc
 000000B9  0F BF 42 01			movsx eax,word ptr[rdx+1]
 000000BD  48/ 83 EC 04			sub rsp,4h
 000000C1  89 04 24			mov dword ptr[rsp],eax
 000000C4  48/ 83 C2 03			add rdx,3h
 000000C8  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000000CC  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000000D0			ViLdiwsxd endp

 000000D0			ViLdiwsxq proc
 000000D0  48/ 0F BF 42			movsx rax,word ptr[rdx+1]
	   01
 000000D5  48/ 83 EC 08			sub rsp,8h
 000000D9  48/ 89 04 24			mov qword ptr[rsp],rax
 000000DD  48/ 83 C2 03			add rdx,3h
 000000E1  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000000E5  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000000E9			ViLdiwsxq endp

 000000E9			ViLdidsxq proc
 000000E9  48/ 63 42 01			movsxd rax,dword ptr[rdx+1]
 000000ED  50				push rax
 000000EE  48/ 83 C2 05			add rdx,5h
 000000F2  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000000F6  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000000FA			ViLdidsxq endp

 000000FA			ViLdibzxw proc
 000000FA  66| 0F B6 42			movzx ax,byte ptr[rdx+1]
	   01
 000000FF  48/ 83 EC 02			sub rsp,2h
 00000103  66| 89 04 24			mov word ptr[rsp],ax
 00000107  48/ 83 C2 02			add rdx,2h
 0000010B  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000010F  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000113			ViLdibzxw endp

 00000113			ViLdibzxd proc
 00000113  0F B6 42 01			movzx eax,byte ptr[rdx+1]
 00000117  48/ 83 EC 04			sub rsp,4h
 0000011B  89 04 24			mov dword ptr[rsp],eax
 0000011E  48/ 83 C2 02			add rdx,2h
 00000122  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000126  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000012A			ViLdibzxd endp

 0000012A			ViLdibzxq proc
 0000012A  48/ 0F B6 42			movzx rax,byte ptr[rdx+1]
	   01
 0000012F  48/ 83 EC 08			sub rsp,8h
 00000133  48/ 89 04 24			mov qword ptr[rsp],rax
 00000137  48/ 83 C2 02			add rdx,2h
 0000013B  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000013F  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000143			ViLdibzxq endp

 00000143			ViLdiwzxd proc
 00000143  0F B7 42 01			movzx eax,word ptr[rdx+1]
 00000147  48/ 83 EC 04			sub rsp,4h
 0000014B  89 04 24			mov dword ptr[rsp],eax
 0000014E  48/ 83 C2 03			add rdx,3h
 00000152  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000156  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000015A			ViLdiwzxd endp

 0000015A			ViLdiwzxq proc
 0000015A  48/ 0F B7 42			movzx rax,word ptr[rdx+1]
	   01
 0000015F  48/ 83 EC 08			sub rsp,8h
 00000163  48/ 89 04 24			mov qword ptr[rsp],rax
 00000167  48/ 83 C2 03			add rdx,3h
 0000016B  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000016F  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000173			ViLdiwzxq endp

 00000173			ViLdidzxq proc
 00000173  8B 42 01			mov eax,dword ptr[rdx+1]
 00000176  50				push rax
 00000177  48/ 83 C2 05			add rdx,5h
 0000017B  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000017F  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000183			ViLdidzxq endp

 00000183			ViLdab proc
 00000183  48/ 8B 04 24			mov rax,qword ptr[rsp]
 00000187  8A 00			mov al,byte ptr[rax]
 00000189  48/ 83 EC 01			sub rsp,1h
 0000018D  88 04 24			mov byte ptr[rsp],al
 00000190  48/ 83 C2 01			add rdx,1h
 00000194  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000198  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000019C			ViLdab endp

 0000019C			ViLdaw proc
 0000019C  48/ 8B 04 24			mov rax,qword ptr[rsp]
 000001A0  66| 8B 00			mov ax,word ptr[rax]
 000001A3  48/ 83 EC 02			sub rsp,2h
 000001A7  66| 89 04 24			mov word ptr[rsp],ax
 000001AB  48/ 83 C2 01			add rdx,1h
 000001AF  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000001B3  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000001B7			ViLdaw endp

 000001B7			ViLdad proc
 000001B7  48/ 8B 04 24			mov rax,qword ptr[rsp]
 000001BB  8B 00			mov eax,dword ptr[rax]
 000001BD  48/ 83 EC 04			sub rsp,4h
 000001C1  89 04 24			mov dword ptr[rsp],eax
 000001C4  48/ 83 C2 01			add rdx,1h
 000001C8  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000001CC  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000001D0			ViLdad endp

 000001D0			ViLdaq proc
 000001D0  48/ 8B 04 24			mov rax,qword ptr[rsp]
 000001D4  FF 30			push qword ptr[rax]
 000001D6  48/ 83 C2 01			add rdx,1h
 000001DA  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000001DE  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000001E2			ViLdaq endp

 000001E2			ViStab proc
 000001E2  8A 04 24			mov al,byte ptr[rsp]
 000001E5  48/ 83 C4 01			add rsp,1h
 000001E9  4C/ 8B 24 24			mov r12,qword ptr[rsp]
 000001ED  41/ 88 04 24			mov byte ptr[r12],al
 000001F1  48/ 83 C2 01			add rdx,1h
 000001F5  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000001F9  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000001FD			ViStab endp

 000001FD			ViStaw proc
 000001FD  66| 8B 04 24			mov ax,word ptr[rsp]
 00000201  48/ 83 C4 02			add rsp,2h
 00000205  4C/ 8B 24 24			mov r12,qword ptr[rsp]
 00000209  66| 41/ 89 04 24		mov word ptr[r12],ax
 0000020E  48/ 83 C2 01			add rdx,1h
 00000212  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000216  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000021A			ViStaw endp

 0000021A			ViStad proc
 0000021A  8B 04 24			mov eax,dword ptr[rsp]
 0000021D  48/ 83 C4 04			add rsp,4h
 00000221  4C/ 8B 24 24			mov r12,qword ptr[rsp]
 00000225  41/ 89 04 24			mov dword ptr[r12],eax
 00000229  48/ 83 C2 01			add rdx,1h
 0000022D  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000231  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000235			ViStad endp

 00000235			ViStaq proc
 00000235  58	pop rax
 00000236  4C/ 8B 24 24			mov r12,qword ptr[rsp]
 0000023A  49/ 89 04 24			mov qword ptr[r12],rax
 0000023E  48/ 83 C2 01			add rdx,1h
 00000242  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000246  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000024A			ViStaq endp

 0000024A			ViSxbw proc
 0000024A  8A 04 24			mov al,byte ptr[rsp]
 0000024D  66| 0F BE C0			movsx ax,al
 00000251  48/ 83 EC 01			sub rsp,1h
 00000255  66| 89 04 24			mov word ptr[rsp],ax
 00000259  48/ 83 C2 01			add rdx,1h
 0000025D  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000261  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000265			ViSxbw endp

 00000265			ViSxbd proc
 00000265  8A 04 24			mov al,byte ptr[rsp]
 00000268  0F BE C0			movsx eax,al
 0000026B  48/ 83 EC 03			sub rsp,3h
 0000026F  89 04 24			mov dword ptr[rsp],eax
 00000272  48/ 83 C2 01			add rdx,1h
 00000276  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000027A  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000027E			ViSxbd endp

 0000027E			ViSxbq proc
 0000027E  8A 04 24			mov al,byte ptr[rsp]
 00000281  48/ 0F BE C0			movsx rax,al
 00000285  48/ 83 EC 07			sub rsp,7h
 00000289  48/ 89 04 24			mov qword ptr[rsp],rax
 0000028D  48/ 83 C2 01			add rdx,1h
 00000291  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000295  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000299			ViSxbq endp

 00000299			ViSxwd proc
 00000299  66| 8B 04 24			mov ax,word ptr[rsp]
 0000029D  0F BF C0			movsx eax,ax
 000002A0  48/ 83 EC 02			sub rsp,2h
 000002A4  89 04 24			mov dword ptr[rsp],eax
 000002A7  48/ 83 C2 01			add rdx,1h
 000002AB  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000002AF  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000002B3			ViSxwd endp

 000002B3			ViSxwq proc
 000002B3  66| 8B 04 24			mov ax,word ptr[rsp]
 000002B7  48/ 0F BF C0			movsx rax,ax
 000002BB  48/ 83 EC 06			sub rsp,6h
 000002BF  48/ 89 04 24			mov qword ptr[rsp],rax
 000002C3  48/ 83 C2 01			add rdx,1h
 000002C7  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000002CB  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000002CF			ViSxwq endp

 000002CF			ViSxdq proc
 000002CF  8B 04 24			mov eax,dword ptr[rsp]
 000002D2  48/ 63 C0			movsxd rax,eax
 000002D5  48/ 83 EC 04			sub rsp,4h
 000002D9  48/ 89 04 24			mov qword ptr[rsp],rax
 000002DD  48/ 83 C2 01			add rdx,1h
 000002E1  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000002E5  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000002E9			ViSxdq endp

 000002E9			ViZxbw proc
 000002E9  8A 04 24			mov al,byte ptr[rsp]
 000002EC  66| 0F B6 C0			movzx ax,al
 000002F0  48/ 83 EC 01			sub rsp,1h
 000002F4  66| 89 04 24			mov word ptr[rsp],ax
 000002F8  48/ 83 C2 01			add rdx,1h
 000002FC  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000300  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000304			ViZxbw endp

 00000304			ViZxbd proc
 00000304  8A 04 24			mov al,byte ptr[rsp]
 00000307  0F B6 C0			movzx eax,al
 0000030A  48/ 83 EC 03			sub rsp,3h
 0000030E  89 04 24			mov dword ptr[rsp],eax
 00000311  48/ 83 C2 01			add rdx,1h
 00000315  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000319  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000031D			ViZxbd endp

 0000031D			ViZxbq proc
 0000031D  8A 04 24			mov al,byte ptr[rsp]
 00000320  48/ 0F B6 C0			movzx rax,al
 00000324  48/ 83 EC 07			sub rsp,7h
 00000328  48/ 89 04 24			mov qword ptr[rsp],rax
 0000032C  48/ 83 C2 01			add rdx,1h
 00000330  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000334  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000338			ViZxbq endp

 00000338			ViZxwd proc
 00000338  66| 8B 04 24			mov ax,word ptr[rsp]
 0000033C  0F B7 C0			movzx eax,ax
 0000033F  48/ 83 EC 02			sub rsp,2h
 00000343  89 04 24			mov dword ptr[rsp],eax
 00000346  48/ 83 C2 01			add rdx,1h
 0000034A  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000034E  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000352			ViZxwd endp

 00000352			ViZxwq proc
 00000352  66| 8B 04 24			mov ax,word ptr[rsp]
 00000356  48/ 0F B7 C0			movzx rax,ax
 0000035A  48/ 83 EC 06			sub rsp,6h
 0000035E  48/ 89 04 24			mov qword ptr[rsp],rax
 00000362  48/ 83 C2 01			add rdx,1h
 00000366  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000036A  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000036E			ViZxwq endp

 0000036E			ViZxdq proc
 0000036E  8B 04 24			mov eax,dword ptr[rsp]
 00000371  48/ 83 EC 04			sub rsp,4h
 00000375  48/ 89 04 24			mov qword ptr[rsp],rax
 00000379  48/ 83 C2 01			add rdx,1h
 0000037D  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000381  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000385			ViZxdq endp

 00000385			ViPushb proc
 00000385  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]		;zero extend regid
	   01
 0000038A  8A 04 C1			mov al,byte ptr[rcx+rax*8h]		;load btye from register
 0000038D  48/ 83 EC 01			sub rsp,1h
 00000391  88 04 24			mov byte ptr[rsp],al
 00000394  48/ 83 C2 02			add rdx,2h
 00000398  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000039C  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000003A0			ViPushb endp

 000003A0			ViPushw proc
 000003A0  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 000003A5  66| 8B 04 C1			mov ax,word ptr[rcx+rax*8h]
 000003A9  48/ 83 EC 02			sub rsp,2h
 000003AD  66| 89 04 24			mov word ptr[rsp],ax
 000003B1  48/ 83 C2 02			add rdx,2h
 000003B5  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000003B9  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000003BD			ViPushw endp

 000003BD			ViPushd proc
 000003BD  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 000003C2  8B 04 C1			mov eax,dword ptr[rcx+rax*8h]
 000003C5  48/ 83 EC 04			sub rsp,4h
 000003C9  89 04 24			mov dword ptr[rsp],eax
 000003CC  48/ 83 C2 02			add rdx,2h
 000003D0  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000003D4  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000003D8			ViPushd endp

 000003D8			ViPushq proc
 000003D8  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 000003DD  FF 34 C1			push qword ptr[rcx+rax*8h]
 000003E0  48/ 83 C2 02			add rdx,2h
 000003E4  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000003E8  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000003EC			ViPushq endp

 000003EC			ViPopb proc
 000003EC  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 000003F1  44/ 8A 24 24			mov r12b,byte ptr[rsp]
 000003F5  48/ 83 C4 01			add rsp,1h
 000003F9  44/ 88 24 C1			mov byte ptr[rcx+rax*8h],r12b
 000003FD  48/ 83 C2 02			add rdx,2h
 00000401  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000405  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000409			ViPopb endp

 00000409			ViPopw proc
 00000409  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 0000040E  66| 44/ 8B 24 24		mov r12w,word ptr[rsp]
 00000413  48/ 83 C4 02			add rsp,2h
 00000417  66| 44/ 89 24 C1		mov word ptr[rcx+rax*8h],r12w
 0000041C  48/ 83 C2 02			add rdx,2h
 00000420  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000424  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000428			ViPopw endp

 00000428			ViPopd proc
 00000428  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 0000042D  44/ 8B 24 24			mov r12d,dword ptr[rsp]
 00000431  48/ 83 C4 04			add rsp,4h
 00000435  44/ 89 24 C1			mov dword ptr[rcx+rax*8h],r12d
 00000439  48/ 83 C2 02			add rdx,2h
 0000043D  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000441  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000445			ViPopd endp

 00000445			ViPopq proc
 00000445  48/ 0F B6 42			movzx rax,byte ptr[rdx+1h]
	   01
 0000044A  41/ 5C			pop r12
 0000044C  4C/ 89 24 C1			mov qword ptr[rcx+rax*8h],r12
 00000450  48/ 83 C2 02			add rdx,2h
 00000454  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000458  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000045C			ViPopq endp

 0000045C			ViNpopb proc
 0000045C  48/ 83 C4 01			add rsp,1
 00000460  48/ 83 C2 01			add rdx,1h
 00000464  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000468  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000046C			ViNpopb endp

 0000046C			ViNpopw proc
 0000046C  48/ 83 C4 02			add rsp,2
 00000470  48/ 83 C2 01			add rdx,1h
 00000474  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000478  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000047C			ViNpopw endp

 0000047C			ViNpopd proc
 0000047C  48/ 83 C4 04			add rsp,4
 00000480  48/ 83 C2 01			add rdx,1h
 00000484  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000488  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000048C			ViNpopd endp

 0000048C			ViNpopq proc
 0000048C  48/ 83 C4 08			add rsp,8
 00000490  48/ 83 C2 01			add rdx,1h
 00000494  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000498  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000049C			ViNpopq endp

 0000049C			ViAddb proc
 0000049C  8A 04 24			mov al,byte ptr[rsp]
 0000049F  48/ 83 C4 01			add rsp,1h
 000004A3  00 04 24			add byte ptr[rsp],al
 000004A6  9C				pushfq
 000004A7  48/ 83 C2 01			add rdx,1h
 000004AB  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000004AF  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000004B3			ViAddb endp

 000004B3			ViAddw proc
 000004B3  66| 8B 04 24			mov ax,word ptr[rsp]
 000004B7  48/ 83 C4 02			add rsp,2h
 000004BB  66| 01 04 24			add word ptr[rsp],ax
 000004BF  9C				pushfq
 000004C0  48/ 83 C2 01			add rdx,1h
 000004C4  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000004C8  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000004CC			ViAddw endp

 000004CC			ViAddd proc
 000004CC  8B 04 24			mov eax,dword ptr[rsp]
 000004CF  48/ 83 C4 04			add rsp,4h
 000004D3  01 04 24			add dword ptr[rsp],eax
 000004D6  9C				pushfq
 000004D7  48/ 83 C2 01			add rdx,1h
 000004DB  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000004DF  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000004E3			ViAddd endp

 000004E3			ViAddq proc
 000004E3  58				pop rax
 000004E4  48/ 01 04 24			add qword ptr[rsp],rax
 000004E8  9C				pushfq
 000004E9  48/ 83 C2 01			add rdx,1h
 000004ED  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000004F1  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000004F5			ViAddq endp

 000004F5			ViSubb proc
 000004F5  8A 04 24			mov al,byte ptr[rsp]
 000004F8  48/ 83 C4 01			add rsp,1h
 000004FC  28 04 24			sub byte ptr[rsp],al
 000004FF  9C				pushfq
 00000500  48/ 83 C2 01			add rdx,1h
 00000504  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000508  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000050C			ViSubb endp

 0000050C			ViSubw proc
 0000050C  66| 8B 04 24			mov ax,word ptr[rsp]
 00000510  48/ 83 C4 02			add rsp,2h
 00000514  66| 29 04 24			sub word ptr[rsp],ax
 00000518  9C				pushfq
 00000519  48/ 83 C2 01			add rdx,1h
 0000051D  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000521  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000525			ViSubw endp

 00000525			ViSubd proc
 00000525  8B 04 24			mov eax,dword ptr[rsp]
 00000528  48/ 83 C4 04			add rsp,4h
 0000052C  29 04 24			sub dword ptr[rsp],eax
 0000052F  9C				pushfq
 00000530  48/ 83 C2 01			add rdx,1h
 00000534  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000538  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000053C			ViSubd endp

 0000053C			ViSubq proc
 0000053C  58				pop rax
 0000053D  48/ 29 04 24			sub qword ptr[rsp],rax
 00000541  9C				pushfq
 00000542  48/ 83 C2 01			add rdx,1h
 00000546  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000054A  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 0000054E			ViSubq endp

 0000054E			ViMulb proc
 0000054E  8A 04 24			mov al,[rsp]
 00000551  F6 64 24 01			mul byte ptr[rsp+1h]
 00000555  66| 89 04 24			mov [rsp],ax
 00000559  9C				pushfq
 0000055A  48/ 83 C2 01			add rdx,1h
 0000055E  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000562  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000566			ViMulb endp

 00000566			ViMulw proc
 00000566  66| 8B 04 24			mov ax,[rsp]
 0000056A  66| F7 64 24			mul word ptr[rsp+2h]
	   02
 0000056F  66| 89 44 24			mov [rsp+2h],ax
	   02
 00000574  66| 89 14 24			mov [rsp],dx
 00000578  9C				pushfq
 00000579  48/ 83 C2 01			add rdx,1h
 0000057D  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 00000581  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 00000585			ViMulw endp

 00000585			ViMuld proc
 00000585  8B 04 24			mov eax,[rsp]
 00000588  F7 64 24 04			mul dword ptr[rsp+4h]
 0000058C  89 44 24 04			mov [rsp+4h],eax
 00000590  89 14 24			mov [rsp],edx
 00000593  9C				pushfq
 00000594  48/ 83 C2 01			add rdx,1h
 00000598  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 0000059C  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000005A0			ViMuld endp

 000005A0			ViMulq proc
 000005A0  48/ 8B 04 24			mov rax,[rsp]
 000005A4  48/ F7 64 24			mul qword ptr[rsp+8h]
	   08
 000005A9  48/ 89 44 24			mov [rsp+8h],rax
	   08
 000005AE  48/ 89 14 24			mov [rsp],rdx
 000005B2  9C				pushfq
 000005B3  48/ 83 C2 01			add rdx,1h
 000005B7  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000005BB  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000005BF			ViMulq endp

 000005BF			ViDivb proc
 000005BF  66| 8B 44 24			mov ax,[rsp+1h]
	   01
 000005C4  F6 34 24			div byte ptr[rsp]
 000005C7  48/ 83 C4 01			add rsp,1h
 000005CB  88 44 24 01			mov [rsp+1h],al
 000005CF  88 24 24			mov [rsp],ah
 000005D2  9C				pushfq
 000005D3  48/ 83 C2 01			add rdx,1h
 000005D7  48/ 0F B6 02			movzx rax,byte ptr[rdx]
 000005DB  41/ FF 24 C0			jmp qword ptr[r8+rax*8h]
 000005DF			ViDivb endp

 000005DF			ViDivw proc
 000005DF  66| 8B 44 24			mov ax,[rsp+4h]
	   04
 000005E4  66| 8B 54 24			mov dx,[rsp+2h]
	   02
 000005E9  66| F7 34 24			div word ptr[rsp]
 000005ED  48/ 83 C4 02			add rsp,2h
 000005F1  66| 89 44 24			mov [rsp+2h],ax
	   02
 000005F6  66| 89 14 24			mov [rsp],dx
 000005FA  9C				pushfq
